Stages,Date,Investors,Company,Industry,Investment Amount
Seed,26-02-2021,,Playcent,"Tooling, Social token, Gaming",1000000
Seed,26-02-2021,"100/x,Dext Force Ventures",Aluna,Gaming,1000000
Seed,16-03-2021,"Bitscale Capital,LD Capital,Lotus Capital",Illuvium,Gaming,5000000
Seed,04-03-2021,"Scalar Capital,gumi Cryptos,YouBi Capital,SevenX Ventures,FlamingoDAO,Delphi Digital,Blocktower Capital,Ascensive Assets,Animoca Brands",Yield Guild Games,Gaming,1300000
Strategic,22-03-2021,"SuperRare,Compute Ventures,Nascent,Cluster Capital,Morningstar Ventures",K21 (from Kanon),Art,
Seed,22-03-2021,"X21 Digital,Magnus Capital,Moonrock Capital,AU21 Capital",RAGE.Fan,Gaming,1600000
Pre-Seed,24-03-2021,"Mark Cuban,Joseph Lubin,Polychain Capital,Draper Dragon,Tally Capital",Nifty's,Art,
Strategic,26-03-2021,"Animoca Brands,Longling Capital,3Commas,LD Capital",AlienWorlds,Gaming,2000000
Strategic,31-03-2021,"The Chernin Group,Andreessen Horowitz,Union Square Ventures,Version One Ventures,Coatue
  Management",Dapper Labs,Gaming,305000000
Seed,06-01-2021,"NGC Ventures,Bitscale Capital,GBV
  Capital,Kyros
  Ventures,​​Coin98 Ventures,Asymm Ventures,Augment Ventures,BTX Capital,Rarestone Capital,X21 Digital,Felix Xu,Ryan Fang",​​Antler Interactive,Gaming,2100000
Series A,14-01-2021,AU21 Capital,Royale,Gaming,1500000
Strategic,06-08-2020,Adam Back,Infinite Fleet,Gaming,3100000
Strategic,18-02-2021,"Black Edge Capital,Morningstar Ventures,Woodstock Fund",​​Ethernity Chain,Art,
Seed,18-02-2021,"Divergent Ventures,Collab+Currency,The LAO,Lemniscap,Semantic Ventures",Async Art,Art,2000000
Series A,25-02-2021,"Benchmark,Accel,e.Ventures,Rio Gavin Ferdinand,Fabric Ventures",Sorare,Gaming,50000000
Seed,21-12-2020,"Moonrock Capital,Morningstar Ventures,AU21 Capital",Exeedme,Gaming,750000
